Date,SPY
2010-01-04,85.76842498779297
2010-01-05,85.9954605102539
2010-01-06,86.0560302734375
2010-01-07,86.4192886352539
2010-01-08,86.70686340332031
2010-01-11,86.8279800415039
2010-01-12,86.01817321777344
2010-01-13,86.74471282958984
2010-01-14,86.97932434082031
2010-01-15,86.00305938720703
2010-01-19,87.07772827148438
2010-01-20,86.19225311279297
2010-01-21,84.53486633300781
2010-01-22,82.65043640136719
2010-01-25,83.07423400878906
2010-01-26,82.72607421875
2010-01-27,83.11962890625
2010-01-28,82.16606903076172
2010-01-29,81.27306365966797
2010-02-01,82.53689575195312
2010-02-02,83.535888671875
2010-02-03,83.11962890625
2010-02-04,80.55408477783203
2010-02-05,80.72055053710938
2010-02-08,80.13782501220703
2010-02-09,81.14439392089844
2010-02-10,80.98545837402344
2010-02-11,81.83304595947266
2010-02-12,81.76496887207031
2010-02-16,83.0515365600586
2010-02-17,83.44506072998047
2010-02-18,83.93701171875
2010-02-19,84.11105346679688
2010-02-22,84.12616729736328
2010-02-23,83.10447692871094
2010-02-24,83.8688735961914
2010-02-25,83.75534057617188
2010-02-26,83.80830383300781
2010-03-01,84.67866516113281
2010-03-02,84.91324615478516
2010-03-03,84.98892974853516
2010-03-04,85.24625396728516
2010-03-05,86.4646987915039
2010-03-08,86.47982788085938
2010-03-09,86.6236572265625
2010-03-10,87.00959014892578
2010-03-11,87.37287902832031
2010-03-12,87.38040924072266
2010-03-15,87.40314483642578
2010-03-16,88.09939575195312
2010-03-17,88.62161254882812
2010-03-18,88.57617950439453
2010-03-19,88.1278076171875
2010-03-22,88.59895324707031
2010-03-23,89.22212219238281
2010-03-24,88.78895568847656
2010-03-25,88.6445541381836
2010-03-26,88.59140014648438
2010-03-29,89.15374755859375
2010-03-30,89.21450805664062
2010-03-31,88.9105453491211
2010-04-01,89.51847076416016
2010-04-05,90.24800872802734
2010-04-06,90.46075439453125
2010-04-07,89.94403076171875
2010-04-08,90.25558471679688
2010-04-09,90.84835052490234
2010-04-12,90.99273681640625
2010-04-13,91.06112670898438
2010-04-14,92.0946044921875
2010-04-15,92.17060089111328
2010-04-16,90.7039566040039
2010-04-19,91.0458984375
2010-04-20,91.85905456542969
2010-04-21,91.69187927246094
2010-04-22,91.96540832519531
2010-04-23,92.56575012207031
2010-04-26,92.21620178222656
2010-04-27,90.03522491455078
2010-04-28,90.71916198730469
2010-04-29,91.84382629394531
2010-04-30,90.2860107421875
2010-05-03,91.45628356933594
2010-05-04,89.30570983886719
2010-05-05,88.77377319335938
2010-05-06,85.82525634765625
2010-05-07,84.5486068725586
2010-05-10,88.27220916748047
2010-05-11,88.02143859863281
2010-05-12,89.25252532958984
2010-05-13,88.14302825927734
2010-05-14,86.54721069335938
2010-05-17,86.5927963256836
2010-05-18,85.41490936279297
2010-05-19,84.9285659790039
2010-05-20,81.72171020507812
2010-05-21,82.91478729248047
2010-05-24,81.85092163085938
2010-05-25,81.93448638916016
2010-05-26,81.44053649902344
2010-05-27,84.16865539550781
2010-05-28,83.11235809326172
2010-06-01,81.7141342163086
2010-06-02,83.84188079833984
2010-06-03,84.1306381225586
2010-06-04,81.1745834350586
2010-06-07,80.16386413574219
2010-06-08,81.0225601196289
2010-06-09,80.58940124511719
2010-06-10,82.94515228271484
2010-06-11,83.34795379638672
2010-06-14,83.21875
2010-06-15,85.1109848022461
2010-06-16,85.0805435180664
2010-06-17,85.21733856201172
2010-06-18,85.30974578857422
2010-06-21,85.06538391113281
2010-06-22,83.66047668457031
2010-06-23,83.40089416503906
2010-06-24,82.01888275146484
2010-06-25,82.36247253417969
2010-06-28,82.1029052734375
2010-06-29,79.56795501708984
2010-06-30,78.81204986572266
2010-07-01,78.4608154296875
2010-07-02,78.0332260131836
2010-07-06,78.54480743408203
2010-07-07,81.0186767578125
2010-07-08,81.82037353515625
2010-07-09,82.43121337890625
2010-07-12,82.48463439941406
2010-07-13,83.72921752929688
2010-07-14,83.72158813476562
2010-07-15,83.74449157714844
2010-07-16,81.43861389160156
2010-07-19,81.9196548461914
2010-07-20,82.82825469970703
2010-07-21,81.75165557861328
2010-07-22,83.5765151977539
2010-07-23,84.30186462402344
2010-07-26,85.17991638183594
2010-07-27,85.17227172851562
2010-07-28,84.62254333496094
2010-07-29,84.21024322509766
2010-07-30,84.19493865966797
2010-08-02,86.09616088867188
2010-08-03,85.6838607788086
2010-08-04,86.25652313232422
2010-08-05,86.16490173339844
2010-08-06,85.81365966796875
2010-08-09,86.2717514038086
2010-08-10,85.80599975585938
2010-08-11,83.45433807373047
2010-08-12,82.94277954101562
2010-08-13,82.69844818115234
2010-08-16,82.66027069091797
2010-08-17,83.67576599121094
2010-08-18,83.8284683227539
2010-08-19,82.37010955810547
2010-08-20,82.1029052734375
2010-08-23,81.78985595703125
2010-08-24,80.57579040527344
2010-08-25,80.88886260986328
2010-08-26,80.34675598144531
2010-08-27,81.5912857055664
2010-08-30,80.40784454345703
2010-08-31,80.40784454345703
2010-09-01,82.8130111694336
2010-09-02,83.58413696289062
2010-09-03,84.66837310791016
2010-09-07,83.71392059326172
2010-09-08,84.30186462402344
2010-09-09,84.6912841796875
2010-09-10,85.11882781982422
2010-09-13,86.06562042236328
2010-09-14,86.01219177246094
2010-09-15,86.34051513671875
2010-09-16,86.31759643554688
2010-09-17,86.34983825683594
2010-09-20,87.67013549804688
2010-09-21,87.49357604980469
2010-09-22,87.0636978149414
2010-09-23,86.35753631591797
2010-09-24,88.13837432861328
2010-09-27,87.71621704101562
2010-09-28,88.02322387695312
